streetAddress,lat,lon,Средний доход,Средняя стоимость ЖКУ,age_до 24 лет,age_25_34 лет,age_35_44 лет,age_45_54 лет,age_55_64 лет,age_от 65 лет,мужчины,женщины,С детьми,С животными,С автомобилем,link
"улица Александры Монаховой, 94 к4",55.541275,37.479865,133501.0,13719.0,6.95,24.46,44.0,15.11,6.59,2.88,46.88,53.12,41.49,29.38,46.64,https://domclick.ru/card/sale__flat__2069308422
"Уральская улица, 4",55.811786,37.801125,81278.0,9483.0,18.68,24.79,25.66,18.11,9.42,3.34,55.7,44.3,20.29,15.74,25.01,https://domclick.ru/card/sale__flat__2069339726
"Каскадная улица, 20 к3",55.706406,37.869146,87779.0,8161.0,10.04,20.08,28.19,23.17,9.65,8.88,55.98,44.02,23.17,20.08,44.02,https://domclick.ru/card/sale__flat__2069353581
"Днепропетровская улица, 31",55.618679,37.586006,90420.0,9606.0,9.39,18.35,27.74,24.48,14.5,5.55,51.53,48.47,28.18,18.1,46.72,https://domclick.ru/card/sale__flat__2069372587
"Театральная улица, 2а",55.500604,37.566292,94690.0,9727.0,11.91,20.02,32.96,19.55,10.78,4.77,52.8,47.2,31.34,20.19,45.28,https://domclick.ru/card/sale__flat__2069378297
"Паромная улица, 7 к3",55.637559,37.764435,96377.0,9039.0,12.56,17.65,33.11,20.32,10.18,6.19,48.82,51.18,29.51,22.39,36.36,https://domclick.ru/card/sale__flat__2069385404
"Партизанская улица, 47",55.740647,37.403096,130297.0,13823.0,8.81,19.5,32.51,21.04,11.89,6.24,53.55,46.45,30.54,19.59,48.16,https://domclick.ru/card/sale__flat__2069393815
"Лесная улица, 63/43 ст2 / Новослободская улица, 43/63",55.783908,37.595974,118997.0,10901.0,30.41,30.67,21.18,10.77,5.03,1.95,51.99,48.01,20.5,19.9,31.31,https://domclick.ru/card/sale__flat__2069400700
"улица Горбунова, 17 к1",55.722784,37.385933,112563.0,12634.0,10.8,19.45,32.01,23.31,10.57,3.86,70.21,29.79,23.47,17.19,71.7,https://domclick.ru/card/sale__flat__2069401904
"Верхняя Первомайская улица, 69 к1",55.800114,37.809704,112489.0,6627.0,15.47,21.49,31.09,19.34,8.02,4.58,59.74,40.26,30.66,22.92,50.72,https://domclick.ru/card/sale__flat__2069420606
"улица Бутлерова, 4 к3",55.651397,37.522137,107118.0,7810.0,13.0,16.59,27.35,22.2,15.02,5.83,52.02,47.98,27.35,23.09,38.57,https://domclick.ru/card/sale__flat__2069423974
"Комсомольский проспект, 17",55.729467,37.587094,221181.0,16005.0,11.6,25.89,29.63,20.17,8.9,3.81,52.03,47.97,25.1,29.07,51.87,https://domclick.ru/card/sale__flat__2069432742
"улица Гришина, 24 к2",55.725119,37.41671,105522.0,9461.0,10.46,19.17,29.49,21.88,13.48,5.52,47.84,52.16,27.5,20.06,42.25,https://domclick.ru/card/sale__flat__2069434832
"Ясеневая улица, 27/25 / Елецкая улица, 25",55.60486,37.736232,103293.0,11068.0,12.95,20.29,30.46,20.85,10.33,5.12,53.09,46.91,31.74,23.28,47.06,https://domclick.ru/card/sale__flat__2069438550
"Комсомольский проспект, 19",55.728885,37.585551,221181.0,16005.0,11.6,25.89,29.63,20.17,8.9,3.81,52.03,47.97,25.1,29.07,51.87,https://domclick.ru/card/sale__flat__2069465487
"Череповецкая улица, 4",55.897079,37.563969,92166.0,8625.0,10.75,18.59,25.73,26.88,12.6,5.45,55.15,44.85,25.65,19.89,36.71,https://domclick.ru/card/sale__flat__2069467439
"Совхозная улица, 18 к1",55.679782,37.764169,85456.0,8783.0,14.74,24.59,27.26,20.05,9.34,4.01,57.58,42.42,19.89,15.99,32.71,https://domclick.ru/card/sale__flat__2069469104
"Хавская улица, 18",55.715503,37.613091,121614.0,11673.0,14.39,22.05,27.63,18.71,11.57,5.65,51.13,48.87,25.07,21.61,41.54,https://domclick.ru/card/sale__flat__2069469157
"Аминьевское шоссе, 32",55.71968,37.451694,93020.0,11266.0,10.76,19.24,28.52,21.33,13.83,6.33,54.21,45.79,23.6,15.73,34.6,https://domclick.ru/card/sale__flat__2069473069
"Волочаевская улица, 4",55.757792,37.684157,85620.0,9290.0,24.69,20.4,25.77,16.72,8.59,3.83,63.75,36.25,18.2,14.37,30.57,https://domclick.ru/card/sale__flat__2069473886
"посёлок Коммунарка, 8",55.574062,37.474867,108598.0,12126.0,14.76,25.05,29.96,17.51,9.15,3.57,58.11,41.89,24.07,15.35,37.26,https://domclick.ru/card/sale__flat__2069484528
"Бакунинская улица, 43-55",55.776403,37.686083,104825.0,11253.0,17.31,22.03,25.57,19.15,10.16,5.78,54.98,45.02,20.82,19.15,35.39,https://domclick.ru/card/sale__flat__2069492202
"улица Полбина, 52",55.676907,37.726024,94763.0,9234.0,12.06,22.97,32.48,17.63,12.06,2.78,52.2,47.8,28.54,20.88,34.34,https://domclick.ru/card/sale__flat__2069506119
"посёлок Фабрики им. 1 Мая, 49",55.485687,37.495657,84674.0,2507.0,6.09,16.34,27.64,18.42,18.57,12.93,49.63,50.37,24.81,26.3,54.83,https://domclick.ru/card/sale__flat__2069507720
"Ярославское шоссе, 22 к1",55.855965,37.686642,114856.0,9948.0,17.6,18.0,26.97,21.32,11.57,4.55,50.29,49.71,26.15,22.07,41.84,https://domclick.ru/card/sale__flat__2069514233
"улица Черняховского, 9 к4",55.805543,37.534873,119902.0,11390.0,18.34,19.26,24.14,19.25,12.02,6.99,44.14,55.86,23.05,22.91,33.65,https://domclick.ru/card/sale__flat__2069520976
"Дегунинская улица, 13 к2",55.864864,37.532592,106203.0,10019.0,14.38,20.95,27.22,19.64,12.26,5.55,47.96,52.04,29.57,21.4,38.47,https://domclick.ru/card/sale__flat__2069524032
"улица Шаболовка, 29 к1",55.721463,37.610925,147848.0,12180.0,21.1,21.68,27.17,17.1,9.16,3.79,46.43,53.57,23.05,21.59,38.42,https://domclick.ru/card/sale__flat__2069549539
"Авиационная улица, 66",55.809889,37.460418,104465.0,10860.0,17.51,21.79,25.65,19.67,9.94,5.44,47.32,52.68,22.89,20.42,27.55,https://domclick.ru/card/sale__flat__2069572728
"Профсоюзная улица, 146 к3",55.625864,37.505681,134653.0,9689.0,4.92,15.78,30.73,27.73,12.72,8.12,50.99,49.01,33.87,27.99,59.94,https://domclick.ru/card/sale__flat__2069577841
"Шоссейная улица, 47",55.675847,37.723911,93698.0,8352.0,11.93,19.95,29.38,20.42,13.44,4.9,56.41,43.59,23.7,19.48,40.83,https://domclick.ru/card/sale__flat__2069593596
"Лосевская улица, 6",55.873587,37.711991,103779.0,10137.0,14.82,21.34,27.87,20.76,10.33,4.89,55.73,44.27,26.13,19.21,51.1,https://domclick.ru/card/sale__flat__2069597865
"Андропова проспект, 33 к2",55.674436,37.667445,132281.0,10176.0,5.77,15.38,36.54,23.08,15.38,3.85,61.54,38.46,36.54,26.92,48.08,https://domclick.ru/card/sale__flat__2069597872
"Коптевская улица, 26 к4",55.834285,37.522629,100241.0,10244.0,14.52,21.88,29.41,20.09,9.8,4.31,59.94,40.06,24.45,18.26,34.33,https://domclick.ru/card/sale__flat__2069620033
"улица Бажова, 15 к2",55.837698,37.664065,168668.0,,11.14,23.87,31.83,18.3,9.55,5.31,60.34,39.66,31.17,23.08,62.47,https://domclick.ru/card/sale__flat__2069627646
"Кетчерская улица, 6 к3",55.740903,37.823888,114485.0,9647.0,12.58,20.64,30.88,20.38,10.23,5.29,30.96,69.04,45.45,25.59,35.99,https://domclick.ru/card/sale__flat__2069653838
"Одесская улица, 22 к1",55.653269,37.587901,108975.0,9157.0,14.11,19.21,26.53,20.23,14.02,5.9,48.91,51.09,28.41,20.77,42.43,https://domclick.ru/card/sale__flat__2069665811
"Смольная улица, 63",55.87049,37.470989,148577.0,12034.0,9.95,21.06,30.93,23.26,10.57,4.23,62.22,37.78,26.55,22.2,53.33,https://domclick.ru/card/sale__flat__2069669549
"Школьная улица, 7",55.213344,37.076115,90145.0,11503.0,4.75,15.25,28.75,22.5,18.25,10.5,48.25,51.75,28.5,14.75,62.25,https://domclick.ru/card/sale__flat__2069727661
"Борисовский проезд, 36 к2",55.619173,37.725144,70696.0,5706.0,11.76,5.88,14.71,17.65,11.76,38.24,29.41,70.59,20.59,29.41,38.24,https://domclick.ru/card/sale__flat__2069741402
"Погонный проезд, 1 к11",55.818371,37.700459,116943.0,12456.0,12.13,20.41,30.42,20.41,11.61,5.03,52.23,47.77,27.49,19.52,47.49,https://domclick.ru/card/sale__flat__2069747350
"Фруктовая улица, 3а",55.658984,37.616641,143525.0,8932.0,11.97,23.29,30.9,21.0,9.14,3.7,62.79,37.21,24.59,24.27,49.29,https://domclick.ru/card/sale__flat__2069777297
"Большая Грузинская улица, 57 ст1",55.771459,37.583131,150712.0,12685.0,11.95,23.07,26.51,19.46,12.26,6.75,45.5,54.5,23.17,23.39,39.76,https://domclick.ru/card/sale__flat__2069777463
"Большая Черкизовская улица, 26 к1",55.79891,37.738063,91605.0,10042.0,18.0,23.01,27.71,18.91,9.11,3.26,59.61,40.39,21.72,19.29,38.42,https://domclick.ru/card/sale__flat__2069823168
"улица Дружбы, 10/32 / Ломоносовский проспект, 32",55.707503,37.512812,98328.0,10649.0,28.55,21.87,20.97,15.53,8.62,4.46,59.38,40.62,17.26,14.16,31.44,https://domclick.ru/card/sale__flat__2069824307
"Севастопольский проспект, 22",55.680894,37.59595,128688.0,10781.0,16.5,28.23,33.9,13.52,5.37,2.49,71.77,28.23,25.65,19.88,56.36,https://domclick.ru/card/sale__flat__2069839578
"2-й Красногвардейский проезд, 8а",55.753726,37.535504,94006.0,10365.0,20.87,24.73,27.93,18.34,6.04,2.09,64.48,35.52,18.87,14.52,29.84,https://domclick.ru/card/sale__flat__2069856446
"улица Молодцова, 23 к1",55.878357,37.629346,91593.0,9878.0,8.85,17.11,28.95,25.14,13.11,6.85,49.95,50.05,28.27,20.33,45.1,https://domclick.ru/card/sale__flat__2069871096
"улица Красная Пресня, 11",55.761183,37.572324,152967.0,12954.0,15.68,24.26,27.45,17.95,9.82,4.83,45.69,54.31,23.8,24.14,37.2,https://domclick.ru/card/sale__flat__2069912974
"микрорайон В, 33",55.488729,37.304989,116621.0,6370.0,11.76,20.47,33.12,21.99,9.07,3.59,57.9,42.1,32.32,26.3,51.8,https://domclick.ru/card/sale__flat__2069914527
"бульвар Матроса Железняка, 15/9",55.830476,37.525552,99396.0,10707.0,12.48,19.39,30.4,21.5,11.72,4.51,53.43,46.57,32.04,20.62,42.24,https://domclick.ru/card/sale__flat__2069919907
"Аэростатная улица, 12 к1",55.587824,37.167402,103631.0,8162.0,19.91,30.43,29.86,12.36,5.79,1.66,65.4,34.6,22.34,10.29,45.46,https://domclick.ru/card/sale__flat__2069951044
"Пролетарский проспект, 2",55.647785,37.656114,116489.0,10277.0,14.35,19.95,30.49,20.35,9.57,5.29,61.38,38.62,26.87,18.78,62.33,https://domclick.ru/card/sale__flat__2069969312
"аллея Жемчуговой, 5 к1",55.733657,37.823991,94289.0,8945.0,11.67,18.99,24.51,23.08,15.08,6.66,47.3,52.7,29.65,24.28,36.9,https://domclick.ru/card/sale__flat__2069972806
"улица Короленко, 6Б",55.796081,37.690987,128692.0,11347.0,12.41,20.52,28.81,21.28,11.27,5.72,51.85,48.15,24.73,22.5,48.99,https://domclick.ru/card/sale__flat__2069976693
"Русаковская улица, 18/20",55.785116,37.676166,115686.0,11677.0,15.33,26.72,35.27,14.77,5.73,2.18,56.98,43.02,36.64,22.36,52.95,https://domclick.ru/card/sale__flat__2069976696
"Ленинградский проспект, 19",55.781712,37.569243,129823.0,10213.0,30.97,20.39,21.59,13.63,9.27,4.14,39.37,60.63,23.34,23.56,36.75,https://domclick.ru/card/sale__flat__2069976729
"Красностуденческий проезд, 4",55.825189,37.564248,97102.0,9512.0,15.44,15.31,25.5,22.32,13.63,7.79,52.04,47.96,28.29,23.49,48.48,https://domclick.ru/card/sale__flat__2069977469
"Псковская улица, 6",55.90178,37.552415,106383.0,11849.0,10.17,19.02,31.49,21.68,12.27,5.37,56.54,43.46,24.9,18.76,51.23,https://domclick.ru/card/sale__flat__2069983730
"улица Куусинена, 4а к4",55.78078,37.519611,115327.0,10641.0,17.65,19.1,24.69,20.55,11.0,7.0,56.78,43.22,22.93,19.94,39.74,https://domclick.ru/card/sale__flat__2070004249
"3-я Парковая улица, 36 к2",55.800377,37.784509,98526.0,9377.0,13.8,20.7,28.12,20.8,11.8,4.79,55.08,44.92,23.22,23.06,38.18,https://domclick.ru/card/sale__flat__2070013182
"улица Яблочкова, 19",55.818526,37.580652,113723.0,9545.0,13.02,19.68,26.84,22.06,12.39,6.0,51.67,48.33,35.36,21.83,39.6,https://domclick.ru/card/sale__flat__2070024015
"посёлок Киевский, 20",55.432731,36.869381,89774.0,9263.0,12.17,17.22,30.36,23.03,9.89,7.33,51.94,48.06,37.55,23.86,48.62,https://domclick.ru/card/sale__flat__2070030545
"Грузинский Вал улица, 14",55.772948,37.577175,155857.0,10870.0,12.0,25.7,25.46,19.22,10.89,6.73,47.49,52.51,20.93,24.24,37.7,https://domclick.ru/card/sale__flat__2070041888
"Белореченская улица, 21",55.671493,37.766469,101585.0,11558.0,17.17,24.26,28.84,17.41,8.07,4.25,50.5,49.5,30.07,19.1,37.38,https://domclick.ru/card/sale__flat__2070042568
"улица Маши Порываевой, 38",55.773744,37.649906,163277.0,11292.0,14.46,27.69,31.27,18.04,6.34,2.2,52.89,47.11,28.79,24.93,48.07,https://domclick.ru/card/sale__flat__2070047086
"Перекопская улица, 30",55.662129,37.569002,120969.0,10157.0,11.98,20.74,33.64,18.13,10.75,4.76,51.46,48.54,32.1,24.27,53.0,https://domclick.ru/card/sale__flat__2070052987
"улица Медиков, 26 к2",55.631599,37.679958,98214.0,9281.0,10.71,22.56,28.68,19.05,12.98,6.02,45.8,54.2,27.94,22.56,37.66,https://domclick.ru/card/sale__flat__2070083449
"Зубарев переулок, 17",55.811797,37.643284,164497.0,12321.0,10.86,23.52,30.08,21.6,8.89,5.05,47.21,52.79,30.72,26.54,45.82,https://domclick.ru/card/sale__flat__2070085258
"Истринская улица, 10 к2",55.736227,37.436356,139510.0,11551.0,9.34,19.77,31.08,19.99,12.89,6.93,52.48,47.52,28.8,21.61,52.26,https://domclick.ru/card/sale__flat__2070085393
"Каширское шоссе, 94 к1",55.615006,37.713786,100746.0,9635.0,14.4,24.98,28.69,19.64,8.06,4.22,52.49,47.51,29.07,19.6,40.83,https://domclick.ru/card/sale__flat__2070087616
"улица Николая Химушина, 1",55.819338,37.754646,87281.0,9168.0,11.35,22.43,32.72,19.53,9.76,4.22,58.58,41.42,22.69,16.89,34.3,https://domclick.ru/card/sale__flat__2070110820
"Окская улица, 16 к1",55.711767,37.756677,116487.0,11147.0,13.2,21.47,28.44,21.42,10.82,4.65,50.48,49.52,30.93,19.6,42.44,https://domclick.ru/card/sale__flat__2070114895
"Челюскинская улица, 10 к2",55.882316,37.708344,95540.0,8633.0,10.17,18.64,29.29,24.23,11.77,5.91,50.37,49.63,28.38,22.58,38.82,https://domclick.ru/card/sale__flat__2070125145
"улица 5-я Лесные Поляны, 29",55.583103,37.464362,99565.0,10174.0,8.02,20.37,29.63,24.07,12.96,4.94,56.79,43.21,26.85,13.27,45.37,https://domclick.ru/card/sale__flat__2070149411
"Кавказский бульвар, 11",55.633173,37.670405,85685.0,4681.0,3.57,12.5,30.36,14.29,25.0,14.29,23.21,76.79,33.93,28.57,28.57,https://domclick.ru/card/sale__flat__2070158486
"10-я улица Соколиной Горы, 20",55.773839,37.73438,118152.0,10103.0,13.35,22.22,31.55,18.7,10.0,4.18,54.68,45.32,26.08,20.38,43.73,https://domclick.ru/card/sale__flat__2070177709
"рабочий посёлок Киевский, 23Б",55.431236,36.8658,84915.0,7889.0,10.83,14.72,33.12,21.98,10.73,8.62,42.8,57.2,46.48,28.18,46.9,https://domclick.ru/card/sale__flat__2070179238
"посёлок Киевский, 24",55.431622,36.866967,89774.0,9263.0,12.17,17.22,30.36,23.03,9.89,7.33,51.94,48.06,37.55,23.86,48.62,https://domclick.ru/card/sale__flat__2070179252
"Нагорная улица, 9 к1",55.680118,37.609649,94495.0,10501.0,8.68,20.06,29.04,23.65,11.68,6.89,43.71,56.29,29.34,23.95,35.33,https://domclick.ru/card/sale__flat__2070202324
"Зеленоградская улица, 33 к2",55.875223,37.490497,113137.0,11193.0,10.78,21.96,28.46,23.38,11.12,4.29,46.75,53.25,32.41,24.96,44.16,https://domclick.ru/card/sale__flat__2070228908
"улица Симоновский Вал, 20 к3",55.721049,37.660946,132185.0,12322.0,7.37,18.37,29.7,22.77,14.3,7.48,53.69,46.31,24.64,21.56,55.67,https://domclick.ru/card/sale__flat__2070234780
"улица Чапаева, 12",55.514975,37.570946,84542.0,8568.0,17.34,21.91,29.69,17.75,9.15,4.16,57.96,42.04,24.74,18.21,44.32,https://domclick.ru/card/sale__flat__2070236734
"Краснодонская улица, 34",55.670187,37.748554,107331.0,11188.0,10.03,25.14,31.62,19.8,9.6,3.81,67.0,33.0,25.32,17.87,68.23,https://domclick.ru/card/sale__flat__2070250722
"улица Молостовых, 11 к1",55.756979,37.833366,93320.0,8900.0,11.19,20.29,27.7,20.36,14.16,6.3,50.12,49.88,27.87,23.63,40.68,https://domclick.ru/card/sale__flat__2070254787
"Халтуринская улица, 7а к3",55.798986,37.726143,101739.0,8035.0,11.71,21.62,24.76,20.12,13.89,7.9,46.59,53.41,20.37,21.08,29.82,https://domclick.ru/card/sale__flat__2070287300
"Пушкинская улица, 1/2",55.510671,37.565245,88566.0,9071.0,16.39,22.06,28.28,19.15,10.3,3.82,54.09,45.91,23.63,16.36,32.7,https://domclick.ru/card/sale__flat__2070294607
"1-й Красногвардейский проезд, 4 к А ст1",55.754027,37.546561,143708.0,16234.0,18.7,23.91,32.78,15.75,6.56,2.31,59.7,40.3,34.38,20.31,68.96,https://domclick.ru/card/sale__flat__2070306143
"улица Полбина, 2 к1",55.691762,37.728792,93697.0,9008.0,14.23,21.48,27.23,20.42,11.73,4.91,51.99,48.01,22.01,20.33,29.76,https://domclick.ru/card/sale__flat__2070310656
"Главная улица, 19а",55.821153,37.86854,101759.0,15909.0,6.25,14.58,22.92,27.08,18.75,10.42,75.0,25.0,14.58,25.0,58.33,https://domclick.ru/card/sale__flat__2070313253
"Череповецкая улица, 24",55.897275,37.584775,96635.0,9628.0,15.14,20.34,25.83,22.66,10.21,5.82,46.62,53.38,24.07,21.84,29.21,https://domclick.ru/card/sale__flat__2070323182
"Тверская улица, 6 ст5",55.761084,37.61173,154074.0,11746.0,19.26,24.84,25.83,15.96,9.29,4.82,42.31,57.69,25.39,23.15,34.42,https://domclick.ru/card/sale__flat__2070330934
"Алтуфьевское шоссе, 24в",55.862058,37.589025,101503.0,8557.0,10.56,18.52,29.55,22.37,11.26,7.73,50.75,49.25,30.91,25.16,44.22,https://domclick.ru/card/sale__flat__2070341924
"Дорожная улица, 28 к1",55.596502,37.618472,98168.0,9655.0,7.55,17.84,30.3,24.41,14.47,5.43,54.95,45.05,31.62,22.3,55.06,https://domclick.ru/card/sale__flat__2070345446
"улица 1905 года, 25",55.768248,37.556487,134683.0,12937.0,12.45,21.45,28.03,21.28,12.06,4.73,52.38,47.62,24.19,19.78,37.91,https://domclick.ru/card/sale__flat__2070352556
"улица Обручева, 14",55.658886,37.512435,106071.0,10207.0,15.66,21.22,28.3,18.83,10.62,5.37,58.17,41.83,24.97,20.66,45.93,https://domclick.ru/card/sale__flat__2070354270
"квартал 5-й Капотня, 19",55.632644,37.802385,88388.0,9097.0,10.8,18.69,28.89,23.98,11.96,5.68,55.9,44.1,24.81,16.7,40.24,https://domclick.ru/card/sale__flat__2070360417
"улица Зои и Александра Космодемьянских, 7 к2",55.821017,37.508616,164376.0,11028.0,11.11,16.67,29.41,20.59,17.32,4.9,54.9,45.1,35.62,20.26,53.27,https://domclick.ru/card/sale__flat__2070360880
"Палехская улица, 11 к2",55.866601,37.696545,88376.0,10326.0,11.54,18.78,31.67,22.62,10.18,5.2,49.77,50.23,27.15,17.65,38.69,https://domclick.ru/card/sale__flat__2070361991
"Верхние Поля улица, 45 к2",55.667795,37.775366,101816.0,11258.0,15.95,20.84,31.96,19.42,7.8,4.04,60.1,39.9,27.21,17.15,49.18,https://domclick.ru/card/sale__flat__2070368106
"Большая Черёмушкинская улица, 2 к5",55.692318,37.597594,90337.0,8991.0,21.95,18.25,25.5,19.15,10.13,5.01,57.52,42.48,20.31,14.51,34.85,https://domclick.ru/card/sale__flat__2070393775
"Зюзинская улица, 4 к4",55.665254,37.575839,125818.0,10133.0,15.98,23.55,27.56,18.13,10.1,4.68,56.36,43.64,28.35,24.27,49.6,https://domclick.ru/card/sale__flat__2070404523
"Зарайская улица, 58 к2",55.727075,37.775104,99939.0,9906.0,12.36,19.72,29.27,21.12,12.25,5.28,53.09,46.91,25.0,21.85,38.43,https://domclick.ru/card/sale__flat__2070407085
"Кленовый бульвар, 8 к1",55.683426,37.672423,120145.0,10612.0,21.94,21.94,27.85,16.46,6.54,5.27,57.38,42.62,25.74,22.78,43.04,https://domclick.ru/card/sale__flat__2070416719
"Большая Черкизовская улица, 9 к5",55.799973,37.722316,125438.0,11482.0,11.3,22.02,30.08,20.62,11.43,4.54,71.42,28.58,23.21,19.09,63.53,https://domclick.ru/card/sale__flat__2070418651
"Анадырский проезд, 47 к1",55.87406,37.698517,89495.0,9347.0,6.33,12.5,28.8,26.42,18.67,7.28,40.19,59.81,31.65,24.37,37.34,https://domclick.ru/card/sale__flat__2070423712
"улица Плющева, 18 к2",55.741232,37.760931,110043.0,8521.0,9.84,13.66,29.51,24.04,15.3,7.65,45.9,54.1,27.32,24.04,39.89,https://domclick.ru/card/sale__flat__2070424138
"Туристская улица, 19 к4",55.852897,37.417707,100972.0,9560.0,10.96,19.53,29.35,20.76,12.28,7.12,49.87,50.13,27.94,27.56,42.66,https://domclick.ru/card/sale__flat__2070424267
"Пулковская улица, 19 к2",55.846127,37.487252,104356.0,9969.0,11.51,20.13,27.67,20.85,13.27,6.58,51.88,48.12,25.41,20.01,39.64,https://domclick.ru/card/sale__flat__2070424433
"Загородное шоссе, 6 к1",55.693703,37.605849,125021.0,10628.0,13.54,20.1,30.65,18.46,11.83,5.42,47.68,52.32,27.16,20.53,39.2,https://domclick.ru/card/sale__flat__2070424482
"улица Циолковского, 5",55.827773,37.450342,110797.0,9925.0,12.42,23.49,25.84,21.48,12.42,4.36,44.3,55.7,31.88,27.52,45.97,https://domclick.ru/card/sale__flat__2070424502
"улица Бестужевых, 25а",55.872978,37.610664,134146.0,10721.0,9.33,18.29,31.43,23.05,12.0,5.9,46.67,53.33,29.33,25.52,45.71,https://domclick.ru/card/sale__flat__2070424512
"Мурановская улица, 13",55.894226,37.599779,95870.0,8940.0,10.66,19.29,27.07,24.04,11.82,7.12,46.25,53.75,28.24,23.15,38.44,https://domclick.ru/card/sale__flat__2070424617
"Старая Басманная улица, 22 к А ст3",55.767066,37.666877,133636.0,13107.0,19.01,19.96,25.91,18.53,10.54,6.06,53.72,46.28,21.72,18.17,40.41,https://domclick.ru/card/sale__flat__2070424855
"Мосфильмовская улица, 17/25 / Университетский проспект, 25/17",55.715782,37.516742,147713.0,15045.0,13.14,20.67,29.89,19.55,10.02,6.72,53.55,46.45,29.33,16.44,50.93,https://domclick.ru/card/sale__flat__2070425006
"улица Симоновский Вал, 12",55.724765,37.661908,153508.0,12124.0,10.36,22.83,29.89,20.87,10.12,5.94,54.35,45.65,25.1,20.34,49.26,https://domclick.ru/card/sale__flat__2070425465
"Пролетарский проспект, 6 к1",55.646658,37.655045,114932.0,10667.0,16.73,26.47,27.91,16.15,9.89,2.84,77.91,22.09,19.46,16.15,76.87,https://domclick.ru/card/sale__flat__2070425742
"Веерная улица, 3 к4",55.706952,37.477982,113200.0,10487.0,14.85,22.1,27.51,18.61,11.43,5.51,52.76,47.24,27.14,20.58,42.72,https://domclick.ru/card/sale__flat__2070425803
"Мосфильмовская улица, 6",55.724528,37.529915,178642.0,11438.0,3.69,16.76,43.18,22.44,9.94,3.98,31.53,68.47,61.36,27.7,52.13,https://domclick.ru/card/sale__flat__2070426223
"Петровско-Разумовский проезд, 24 к17",55.802907,37.568102,106231.0,10063.0,11.7,18.52,30.81,21.53,11.8,5.63,58.32,41.68,23.9,20.49,44.89,https://domclick.ru/card/sale__flat__2070426456
"Тучковская улица, 11",55.746846,37.508179,134119.0,10888.0,14.85,24.73,28.78,17.86,9.04,4.75,55.34,44.66,24.43,20.05,34.2,https://domclick.ru/card/sale__flat__2070426505
"Зеленодольская улица, 24",55.711945,37.775448,93572.0,9669.0,10.45,21.08,29.25,20.06,12.07,7.1,50.74,49.26,27.58,21.03,36.77,https://domclick.ru/card/sale__flat__2070426632
"улица Тёплый Стан, 6",55.627862,37.487179,97747.0,9114.0,5.56,9.11,24.5,27.93,19.17,13.73,30.77,69.23,31.83,38.93,42.96,https://domclick.ru/card/sale__flat__2070426776
"Большая Тульская улица, 56",55.702515,37.619378,144599.0,12410.0,22.33,31.51,28.26,13.26,4.42,0.23,66.98,33.02,20.12,16.63,38.02,https://domclick.ru/card/sale__flat__2070427082
"улица Богданова, 2",55.659158,37.410802,121848.0,10364.0,10.37,27.84,31.53,17.93,9.11,3.22,71.67,28.33,28.41,19.77,76.36,https://domclick.ru/card/sale__flat__2070427130
"Балаклавский проспект, 46а",55.648701,37.573633,115184.0,9332.0,10.54,19.66,31.18,22.5,10.36,5.76,47.74,52.26,33.3,25.16,47.48,https://domclick.ru/card/sale__flat__2070427227
"улица Мусы Джалиля, 17 к2",55.624409,37.747965,90925.0,8892.0,11.5,22.84,32.46,18.65,8.96,5.59,57.52,42.48,28.18,20.71,49.79,https://domclick.ru/card/sale__flat__2070427262
"Николо-Хованская улица, 32",55.590339,37.454851,143067.0,11921.0,15.98,30.0,29.66,15.41,6.15,2.8,56.85,43.15,33.4,21.46,54.05,https://domclick.ru/card/sale__flat__2070427489
"Симферопольский бульвар, 20а",55.648713,37.604462,161860.0,12534.0,9.79,23.08,31.37,20.84,10.21,4.71,52.76,47.24,30.6,24.78,51.28,https://domclick.ru/card/sale__flat__2070427773
"Даниловская набережная, 4 к2",55.709446,37.641746,126295.0,16571.0,17.65,27.45,29.41,13.73,5.88,5.88,58.82,41.18,27.45,17.65,47.06,https://domclick.ru/card/sale__flat__2070427801
"Пулковская улица, 1/60 / Ленинградское шоссе, 60",55.843788,37.479704,133347.0,12579.0,15.06,23.12,29.29,17.99,10.71,3.83,54.94,45.06,22.6,22.4,40.45,https://domclick.ru/card/sale__flat__2070427807
"Капельский переулок, 13",55.784409,37.633829,129205.0,11817.0,15.4,22.68,25.94,20.0,10.91,5.06,43.59,56.41,23.7,21.92,33.65,https://domclick.ru/card/sale__flat__2070427881
"улица Академика Анохина, 5 к4",55.662202,37.475558,111662.0,9793.0,15.33,14.71,27.7,21.53,12.29,8.44,50.27,49.73,28.58,19.3,44.72,https://domclick.ru/card/sale__flat__2070428170
"улица Шаболовка, 50",55.7137,37.606006,116406.0,11905.0,16.4,19.98,27.63,18.92,11.5,5.57,52.64,47.36,22.81,19.42,40.43,https://domclick.ru/card/sale__flat__2070428417
"улица Шаболовка, 46 к1",55.714708,37.6069,116406.0,11905.0,16.4,19.98,27.63,18.92,11.5,5.57,52.64,47.36,22.81,19.42,40.43,https://domclick.ru/card/sale__flat__2070433989
"улица Юных Ленинцев, 35 к1",55.700402,37.745728,90680.0,10091.0,10.85,20.11,25.85,23.19,12.87,7.13,49.68,50.32,25.96,20.53,32.98,https://domclick.ru/card/sale__flat__2070438306
