streetAddress,lat,lon,Средний доход,Средняя стоимость ЖКУ,age_до 24 лет,age_25_34 лет,age_35_44 лет,age_45_54 лет,age_55_64 лет,age_от 65 лет,мужчины,женщины,С детьми,С животными,С автомобилем,link
"Дегунинская улица, 23 к1",55.8699,37.529484,102147.0,9856.0,12.13,19.0,29.35,20.6,12.56,6.37,47.85,52.15,29.28,23.73,39.03,https://domclick.ru/card/sale__flat__2067575649
"улица Дмитрия Ульянова, 47",55.681897,37.596074,128688.0,10781.0,16.5,28.23,33.9,13.52,5.37,2.49,71.77,28.23,25.65,19.88,56.36,https://domclick.ru/card/sale__flat__2067575971
"2-я Вольская улица, 24",55.686401,37.926367,87835.0,10337.0,14.27,25.63,35.19,14.39,7.5,3.02,61.31,38.69,24.43,22.49,42.08,https://domclick.ru/card/sale__flat__2067576583
"проезд Черепановых, 38 к1",55.841544,37.530984,113613.0,10692.0,11.82,22.66,31.03,20.3,10.31,3.88,64.79,35.21,26.57,22.2,64.4,https://domclick.ru/card/sale__flat__2067577686
"Волочаевская улица, 15",55.751333,37.678084,119954.0,11192.0,10.99,20.4,30.47,22.43,10.92,4.79,46.84,53.16,24.7,23.12,32.86,https://domclick.ru/card/sale__flat__2067597259
"Авиационная улица, 63",55.809343,37.455633,112335.0,13203.0,12.08,20.65,27.93,20.17,11.76,7.42,51.81,48.19,26.22,20.49,39.5,https://domclick.ru/card/sale__flat__2067665127
"3-я Нововатутинская улица, 6",55.522419,37.349501,108264.0,11484.0,13.18,22.95,35.24,16.86,8.08,3.69,51.16,48.84,35.89,22.45,48.7,https://domclick.ru/card/sale__flat__2067666483
"Складочная улица, 8 к1",55.80293,37.596621,146252.0,12929.0,16.02,30.37,30.69,14.86,5.65,2.41,60.05,39.95,24.49,18.52,43.98,https://domclick.ru/card/sale__flat__2067669013
"Челябинская улица, 24 к2",55.778664,37.834938,109886.0,11948.0,11.71,29.54,32.72,17.51,5.93,2.59,71.17,28.83,31.03,20.07,74.68,https://domclick.ru/card/sale__flat__2067706595
"Академическая площадь, 4",55.485742,37.308272,101636.0,6593.0,11.88,24.31,29.28,21.55,9.94,3.04,62.98,37.02,30.39,24.86,53.59,https://domclick.ru/card/sale__flat__2067709014
"Игральная улица, 7",55.815966,37.713042,104045.0,9990.0,14.85,23.43,29.01,19.19,9.07,4.44,55.11,44.89,26.42,20.37,45.69,https://domclick.ru/card/sale__flat__2067740240
"Старобитцевская улица, 17 к2",55.57631,37.581947,133149.0,13236.0,7.43,29.05,34.4,18.21,8.36,2.56,80.7,19.3,28.36,17.44,93.04,https://domclick.ru/card/sale__flat__2067841054
