title,district,city,region,lat,lon
Мякинино,,Красногорск,Московская область,55.824955,37.385243
Печатники,Печатники,Москва,Москва,55.694556,37.727349
Лермонтовский проспект,Выхино-Жулебино,Москва,Москва,55.70148,37.852273
Ботанический сад,Свиблово,Москва,Москва,55.845559,37.640022
Лианозово,Дмитровский,Москва,Москва,55.898374,37.544747
Солнцево,Солнцево,Москва,Москва,55.649589,37.391135
Аннино,Чертаново Южное,Москва,Москва,55.582869,37.5968
Румянцево,Солнцево,Москва,Москва,55.632965,37.441939
Серп и Молот,Лефортово,Москва,Москва,55.748235,37.682399
Перово,Перово,Москва,Москва,55.735808,37.764268
Бульвар Дмитрия Донского,Северное Бутово,Москва,Москва,55.569172,37.576993
Москва-Сити,Пресненский,Москва,Москва,55.747687,37.531978
Кутузовская,Дорогомилово,Москва,Москва,55.740013,37.534057
Тестовская (Москва-Сити),Пресненский,Москва,Москва,55.758037,37.533352
Говорово,Солнцево,Москва,Москва,55.659615,37.416988
Белорусская,Тверской,Москва,Москва,55.77694,37.580262
Красный Балтиец,Коптево,Москва,Москва,55.815465,37.525734
Орехово,Орехово-Борисово Северное,Москва,Москва,55.613242,37.69481
Алма-Атинская,Братеево,Москва,Москва,55.63286,37.765931
Автозаводская,Даниловский,Москва,Москва,55.706135,37.662619
Митьково,Красносельский,Москва,Москва,55.78564,37.670748
Беговая,,Москва,Москва,55.77109,37.539329
Курская,Басманный,Москва,Москва,55.757891,37.662846
Калитники,Нижегородский,Москва,Москва,55.733766,37.702506
Академическая,Академический,Москва,Москва,55.687045,37.575641
Гражданская,Савёловский,Москва,Москва,55.805416,37.553807
Стрешнево,Войковский,Москва,Москва,55.815251,37.490062
Проспект Вернадского,Проспект Вернадского,Москва,Москва,55.678479,37.503821
Красногвардейская,Зябликово,Москва,Москва,55.613696,37.744461
Физтех,Северный,Москва,Москва,55.921473,37.546506
Борисово,Братеево,Москва,Москва,55.633184,37.743658
Нижегородская,Нижегородский,Москва,Москва,55.732274,37.728069
Киевская,Дорогомилово,Москва,Москва,55.743713,37.565587
Дмитровская,Тимирязевский,Москва,Москва,55.807924,37.578338
Андроновка,Перово,Москва,Москва,55.747108,37.737854
Пятницкое шоссе,Митино,Москва,Москва,55.856355,37.354362
Лухмановская,Косино-Ухтомский,Москва,Москва,55.708504,37.900578
Люблино,Люблино,Москва,Москва,55.685463,37.734101
Славянский бульвар,Фили-Давыдково,Москва,Москва,55.730393,37.472418
Чухлинка,Рязанский,Москва,Москва,55.73322,37.762478
Очаково,Очаково-Матвеевское,Москва,Москва,55.68366,37.451442
Савёловская,Бутырский,Москва,Москва,55.795138,37.588992
Новогиреево,Вешняки,Москва,Москва,55.744438,37.819136
Авиамоторная,,Москва,Москва,55.750634,37.721359
Филатов Луг,Коммунарка,Москва,Москва,55.601152,37.408
Владыкино,,Москва,Москва,55.847398,37.591501
Волоколамская,Митино,Москва,Москва,55.83542,37.382262
Нижегородская,Нижегородский,Москва,Москва,55.733374,37.729426
Текстильщики,Печатники,Москва,Москва,55.707588,37.729479
Кунцевская,Фили-Давыдково,Москва,Москва,55.726916,37.449194
Улица Академика Янгеля,Чертаново Южное,Москва,Москва,55.595108,37.600433
Рижская,Красносельский,Москва,Москва,55.792235,37.64123
Выхино,Выхино-Жулебино,Москва,Москва,55.716319,37.816677
Петровско-Разумовская,Тимирязевский,Москва,Москва,55.839627,37.568692
Новаторская,Обручевский,Москва,Москва,55.671809,37.521691
Люберцы,,Люберцы,Московская область,55.682644,37.89621
Шипиловская,Зябликово,Москва,Москва,55.621067,37.743645
Матвеевская,Очаково-Матвеевское,Москва,Москва,55.704694,37.481903
Белокаменная,,Москва,Москва,55.829217,37.702596
Аминьевская,Раменки,Москва,Москва,55.697722,37.469211
Электрозаводская,,Москва,Москва,55.781101,37.705615
Реутов,,Реутов,Московская область,55.751652,37.855646
Курьяново,Печатники,Москва,Москва,55.649399,37.700961
Москва-Товарная,Лефортово,Москва,Москва,55.745139,37.689643
Косино,Выхино-Жулебино,Москва,Москва,55.703374,37.851182
Перерва,Печатники,Москва,Москва,55.660944,37.716359
Зябликово,Зябликово,Москва,Москва,55.612211,37.745146
Курская,Басманный,Москва,Москва,55.757394,37.66194
Марьина Роща,Марьина Роща,Москва,Москва,55.801018,37.620411
Поклонная,Дорогомилово,Москва,Москва,55.732476,37.522137
Лесопарковая,Чертаново Южное,Москва,Москва,55.582044,37.57696
Площадь трёх вокзалов,Красносельский,Москва,Москва,55.77615,37.651559
Рабочий Посёлок,Кунцево,Москва,Москва,55.727014,37.417866
Вешняки,Рязанский,Москва,Москва,55.722206,37.798867
Потапово,Коммунарка,,Москва,55.552645,37.49282
Сколково,,,Московская область,55.700041,37.342657
Рассказовка,Внуково,Москва,Москва,55.633965,37.334713
Ховрино,Ховрино,Москва,Москва,55.879402,37.486887
Фили,Дорогомилово,Москва,Москва,55.744103,37.514647
Прокшино,Коммунарка,Москва,Москва,55.586458,37.433136
Грачёвская,Ховрино,Москва,Москва,55.869782,37.509511
Окружная,Бескудниковский,Москва,Москва,55.847852,37.574133
Сетунь,Можайский,Москва,Москва,55.723799,37.397446
Новоясеневская,Ясенево,Москва,Москва,55.600803,37.554584
Щукинская,Щукино,Москва,Москва,55.811208,37.459079
Дегунино,Отрадное,Москва,Москва,55.865776,37.573178
Одинцово,,Одинцово,Московская область,55.672936,37.283332
Шоссе Энтузиастов,Соколиная Гора,Москва,Москва,55.758208,37.746066
Бульвар Рокоссовского,Богородское,Москва,Москва,55.816825,37.737848
