title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Поликлиника №62,рентгенологическое отделение,Взрослые поликлиники,"Ленинградский проспект, 18а",2 этаж,125040.0,Беговой,Москва,Москва,,,55.782201,37.576902,branch
Детский медицинский центр,Управление делами Президента РФ,Детские поликлиники,"улица Цандера, 5 ст1",,129075.0,Останкинский,Москва,Москва,4.0,7.0,55.817481,37.629987,branch
Поликлиника,отделение платных услуг,Взрослые поликлиники; Терапевт; Кардиолог; Гастроэнтеролог; Эндокринолог; Инфекционист; Физиотерапевт; Хирург; Травматолог-ортопед; Уролог; Онколог; Офтальмолог; ЛОР (отоларинголог); Невролог; Дерматолог; Аллерголог-иммунолог; Пульмонолог; Проктолог; Профпатолог; Психиатр; Занятия ЛФК; Процедурный кабинет; Медицинские анализы; Медицинская диагностика; Массажист; Детские врачи; Медицинские комиссии,"3-й микрорайон, 7",210 кабинет,108819.0,Филимонковский,Московский,Москва,,,55.597066,37.345791,branch
Поликлиника №121,,Взрослые поликлиники; Детские поликлиники,"Южнобутовская улица, 87",,117042.0,Южное Бутово,Москва,Москва,1.8,21.0,55.534699,37.523863,branch
Городская поликлиника №191,филиал №5,Взрослые поликлиники,"Западная улица, 2",,105173.0,Восточный,Москва,Москва,,,55.818482,37.857972,branch
Поликлиника №5,Управление ФСБ России по г. Москве и Московской области,Взрослые поликлиники,"10-я Парковая улица, 15а",,105264.0,Измайлово,Москва,Москва,1.7,1.0,55.798106,37.801208,branch
Поликлиника,кабинет инфекционных заболеваний,Взрослые поликлиники,"Мичуринский проспект, 6 ст1",2 этаж; 2 подъезд,119330.0,Раменки,Москва,Москва,,,55.715627,37.530045,branch
Поликлиника,хирургическое отделение,Взрослые поликлиники,"Мичуринский проспект, 6 ст1",4 этаж; 2 подъезд,119330.0,Раменки,Москва,Москва,,,55.715627,37.530045,branch
Диагностический центр №1,филиал №5,Взрослые поликлиники,"Профсоюзная улица, 111а",,117647.0,Коньково,Москва,Москва,3.2,11.0,55.631902,37.522676,branch
Детская поликлиника №39,филиал №2,Детские поликлиники,"Красноармейская улица, 30а",,125319.0,Аэропорт,Москва,Москва,3.4,3.0,55.802096,37.541731,branch
Семейный доктор,центр офтальмологии и хирургии глаза,Офтальмолог; Микрохирургия глаза,"Бакунинская улица, 1-3",2 этаж,105005.0,Басманный,Москва,Москва,5.0,94.0,55.77352,37.67909,branch
Детская поликлиника №52,,Детские поликлиники,"Зверинецкая улица, 15",,105318.0,Соколиная Гора,Москва,Москва,3.4,6.0,55.784971,37.732987,branch
Поликлиника №6,отделение медицинской профилактики,Взрослые поликлиники,"улица Вучетича, 7Б",,127206.0,Тимирязевский,Москва,Москва,,,55.807623,37.556831,branch
Детская поликлиника №13,,Детские поликлиники,"Зоологическая улица, 15",,123056.0,Пресненский,Москва,Москва,3.4,5.0,55.766826,37.586108,branch
Поликлиника №2,,Взрослые поликлиники; Детские поликлиники,"Военный городок Павшино, 2в",,143405.0,,Красногорск,Московская область,3.4,15.0,55.806196,37.33084,branch
Поликлиника №6,отделение платных услуг,Взрослые поликлиники; Медицинская диагностика; Гинеколог; Дерматолог; Инфекционист; Кардиолог; Невролог; ЛОР (отоларинголог); Офтальмолог; Пульмонолог; Терапевт; Уролог; Хирург; Эндокринолог; Массажист; Физиотерапевт; Медицинские комиссии,"улица Вучетича, 7Б",,127206.0,Тимирязевский,Москва,Москва,,,55.807623,37.556831,branch
Поликлиника №69,филиал №4,Взрослые поликлиники,"улица Молостовых, 7а",,111555.0,Ивановское,Москва,Москва,2.5,10.0,55.760377,37.832963,branch
Детская поликлиника,,Детские поликлиники,"проспект Ленинского Комсомола, 36а",,142701.0,,Видное,Московская область,1.8,23.0,55.548757,37.710665,branch
Поликлиника №2,,Взрослые поликлиники,"улица Лавочкина, 22",,141407.0,,Химки,Московская область,2.3,17.0,55.890343,37.416558,branch
Детская городская поликлиника №131,,Детские поликлиники,"улица Раменки, 27",,119607.0,Раменки,Москва,Москва,3.5,9.0,55.689194,37.49199,branch
Поликлиника на Ломоносовском,хирургическое отделение,Взрослые поликлиники,"Ломоносовский проспект, 43",,119192.0,Раменки,Москва,Москва,5.0,1.0,55.709111,37.507251,branch
Поликлиника №22 г. Москвы,отделение платных услуг,Взрослые поликлиники; Гинеколог; Гастроэнтеролог; Кардиолог; Инфекционист; Проктолог; Невролог; Нефролог; ЛОР (отоларинголог); Офтальмолог; Пульмонолог; Ревматолог; Рефлексотерапевт; Хирург; Физиотерапевт; Эндокринолог; Медицинская диагностика,"улица Цюрупы, 30/63",,117418.0,Черёмушки,Москва,Москва,,,55.66759,37.565712,branch
Лечебно-реабилитационный центр,Национальный медицинский исследовательский центр,Взрослые поликлиники,"Иваньковское шоссе, 3",3 этаж,125367.0,Покровское-Стрешнево,Москва,Москва,4.3,32.0,55.819298,37.466651,branch
Поликлиника №6,отделение неотложной медицинской помощи,Взрослые поликлиники,"улица Вучетича, 7Б",,127206.0,Тимирязевский,Москва,Москва,1.0,1.0,55.807623,37.556831,branch
Московский университет им. М.В. Ломоносова,отделение платных услуг,Взрослые поликлиники; Физиотерапевт; Медицинские комиссии,"Ленинские Горы, 1 ст53",,119234.0,Раменки,Москва,Москва,,,55.696821,37.533426,branch
Поликлиника №52,филиал №2,Взрослые поликлиники,"Булатниковский проезд, 8",,117546.0,Бирюлёво Западное,Москва,Москва,2.5,16.0,55.590849,37.653611,branch
Поликлиника,филиал №8,Взрослые поликлиники; Детские поликлиники,"улица Лётчика Грицевца, 14",1 этаж,108850.0,Внуково,Москва,Москва,2.1,64.0,55.624668,37.313216,branch
Семейный доктор,центр косметологии и превентивной медицины,Косметолог; Диетолог; Подолог; Эпиляция; Массажист,"Баррикадная улица, 19 ст3",,123242.0,Пресненский,Москва,Москва,4.9,97.0,55.759966,37.579745,branch
12 консультативно-диагностический центр Министерства обороны РФ,диагностический корпус,Взрослые поликлиники,"улица Академика Скрябина, 3 к3",,109377.0,Выхино-Жулебино,Москва,Москва,,,55.713002,37.800966,branch
Областная поликлиника №1,,Взрослые поликлиники,"улица Маршала Бирюзова, 3",1 этаж,143003.0,,Одинцово,Московская область,1.9,64.0,55.686383,37.260642,branch
Детская поликлиника №99,,Детские поликлиники,"улица Академика Комарова, 1г",,127276.0,Марфино,Москва,Москва,3.7,3.0,55.829719,37.597635,branch
Городская поликлиника №195,,Взрослые поликлиники,"улица Крылатские Холмы, 51",,121614.0,Крылатское,Москва,Москва,2.2,20.0,55.763905,37.411737,branch
Поликлиническое отделение №12,,Взрослые поликлиники,"Вертолётная улица, 7",,140016.0,,Люберцы,Московская область,3.7,18.0,55.708152,37.963774,branch
Семейный доктор,лаборатория,Медицинские анализы,"Аптекарский переулок, 11",1 этаж,105005.0,Басманный,Москва,Москва,4.5,17.0,55.768537,37.676898,branch
Поликлиника №115,отделение платных услуг,Взрослые поликлиники; Гинеколог; Аллерголог-иммунолог; Гастроэнтеролог; Дерматолог; Кардиолог; Проктолог; Занятия ЛФК; Невролог; ЛОР (отоларинголог); Офтальмолог; Профпатолог; Психиатр; Пульмонолог; Ревматолог; Рефлексотерапевт; Терапевт; Травматолог-ортопед; Уролог; Физиотерапевт; Хирург; Эндокринолог; Мануальный терапевт; Медицинская диагностика; Медицинские анализы,"Пехотная улица, 3 ст16",,123182.0,Щукино,Москва,Москва,,,55.803356,37.48803,branch
Консультативно-диагностический центр №2,НИИ педиатрии и охраны здоровья детей,Детские поликлиники,"улица Фотиевой, 10 ст1",1 этаж,119333.0,Гагаринский,Москва,Москва,2.4,3.0,55.699964,37.558621,branch
Поликлиника №6,,Взрослые поликлиники,"улица Пожарского, 22",,141411.0,,Химки,Московская область,2.1,30.0,55.892939,37.479868,branch
Консультативно-диагностический центр №2,,Взрослые поликлиники,"улица Бажова, 11 к3",,129128.0,Ростокино,Москва,Москва,1.0,2.0,55.836391,37.66203,branch
Поликлиника №180,филиал №3,Взрослые поликлиники,"Пятницкое шоссе, 29 к3 ст1",,125430.0,Митино,Москва,Москва,2.3,21.0,55.849649,37.361666,branch
Детская городская поликлиника №10,филиал №1,Детские поликлиники,"улица Академика Пилюгина, 26 к5",,117393.0,Ломоносовский,Москва,Москва,4.1,11.0,55.674026,37.532803,branch
Детская поликлиника №99,,Детские поликлиники,"улица Касаткина, 9 ст2",,129301.0,Алексеевский,Москва,Москва,2.3,1.0,55.826072,37.658951,branch
