title,lat,lon,avg_price,capacity
LaCus,55.795955,37.611126,300,
LaCus,55.761131,37.5539,,
Lafferia,55.771563,37.686377,350400,18
Lame`,55.754423,37.621026,,
Lancheria,55.752096,37.670108,1650,100
Lao Lee,55.763625,37.569641,1350,
Lao Lee,55.778671,37.596606,1000,30
Layerz,55.754598,37.606456,1500,45
lbis kitchen,55.735895,37.635658,,80
Le procope du Matin,55.771409,37.603417,1250,25
Le Круассан,55.787169,37.671159,280,78
Let`s rock bar,55.760792,37.616365,1500,150
Library,55.735982,37.635125,1200,120
Limbo,55.790624,37.589711,,
Limbo cafe,55.779375,37.701721,1200,
Lime,55.755249,37.61981,,
Lisobon,55.77002,37.633367,400,25
Lobby,55.752644,37.626386,2500,25
Local,55.761773,37.550754,5000,20
Loft Мск,55.740711,37.608859,1500,200
Mandy`s Apothecary,55.76199,37.626052,2500,56
Mangal house,55.742772,37.554648,350,
Mates Bistro,55.773795,37.587274,750,12
Mates Bistro,55.723699,37.611219,550,10
Mates Bistro,55.756111,37.554834,500,15
Mates Bistro,55.76166,37.596042,1000,20
Mates Bistro,55.762097,37.557257,1500,40
Mates Bistro,55.758791,37.643395,1500,15
Mates,55.728181,37.571743,,
May,55.772549,37.597219,2000,25
Means,55.762443,37.634897,1000,
MeetMos,55.750131,37.537668,700,
Megobari,55.771165,37.632285,,120
Megobari,55.757816,37.636428,2500,60
Mendon,55.780443,37.592786,900,19
Mercury cafe,55.750122,37.539928,500,120
Metacafe,55.749205,37.645349,500,35
Mexican Chili Peppers,55.769584,37.584113,,
Michelada,55.757272,37.634275,900,30
Mika`s,55.79356,37.578412,,
Mini,55.765431,37.602919,570,6
Misha Fisher in Asia,55.746996,37.538963,1500,30
Miss you cafe,55.762875,37.617944,1750,1000
Mission,55.770541,37.670753,900,70
Moc Quan,55.794585,37.57878,800,
Mollie`s,55.762524,37.634527,1350,140
Moloko,55.761136,37.614627,1600,60
Mom's cook,55.744236,37.630421,1000,
Ifcm group,55.732908,37.643811,500,100
Moments,55.733582,37.63884,2500,45
Moon Eclipse,55.720205,37.609996,500,18
Mr. A.An,55.728107,37.623519,700,40
