house_id,lat,lon,price_per_m2,building_type,object_type,levels,ads_count
590560.0,55.703987,37.734524,200860.0529218168,0,0,5,7
590587.0,55.817491,37.829692,217438.96752127656,5,0,9,3
590773.0,55.6830353,37.4547033,192657.1090653369,0,0,5,4
590788.0,55.645553,37.495779,312423.0621045767,2,0,16,8
590799.0,55.738319,37.5996357,1615210.7623318385,0,0,6,1
590892.0,55.861226,37.554376,241920.04790081712,0,0,16,5
591083.0,55.7543582,37.6039236,401633.1650103639,4,0,5,18
591116.0,55.64076,37.7599913,236672.38667238667,0,0,17,2
591116.0,55.640842,37.76009,228610.03498836834,0,0,17,17
591247.0,55.6710141,37.7671055,173529.41176470587,2,0,12,1
591247.0,55.671047,37.767142,208208.86290978655,2,0,12,35
591262.0,55.877718,37.686994,225895.3341740227,0,0,9,2
591338.0,55.676468,37.685852,306831.57379560935,5,0,12,11
591338.0,55.676509,37.6859312,315028.90173410403,5,0,12,1
591358.0,55.7450929,37.3961917,281084.65608465613,2,0,14,2
591358.0,55.7451312,37.3962878,228315.67409572523,2,0,14,2
591371.0,55.714825,37.6090369,416384.67230443977,0,0,5,4
591387.0,55.754707,37.680016,352546.59286971076,5,0,16,7
591387.0,55.7547634,37.680024,346835.4430379747,2,0,16,1
591436.0,55.72923,37.579996,585106.3829787234,4,0,12,1
591481.0,55.630273,37.617114,295210.6320386255,0,0,18,15
591528.0,55.7779364,37.6106126,352076.2554402411,4,0,5,4
591583.0,55.6842154,37.573372,301282.0512820513,0,0,5,1
591644.0,55.574151,37.577957,231135.18407109712,2,0,12,23
591657.0,55.8018884,37.49076,273263.1271025303,0,0,5,3
591657.0,55.801937,37.490692,290247.30371317413,0,0,5,4
591821.0,55.820538,37.51351,288092.10526315786,0,0,14,2
592097.0,55.670242,37.610332,307280.49597855227,2,0,25,2
592097.0,55.6702803,37.6104123,333862.17857254454,0,0,25,30
592336.0,55.879157,37.726107,231755.75894238846,0,0,16,3
592353.0,55.874073,37.495377,192343.82129466147,3,0,12,3
592378.0,55.6439033,37.6095658,287869.7250091981,0,0,9,10
592378.0,55.6439179,37.609573,283091.0360130255,0,0,9,6
592412.0,55.8095867,37.8095346,238144.41287878787,0,0,5,2
592451.0,55.7474812,37.760412,221887.96197970447,0,0,5,19
592495.0,55.8562753,37.6872938,229443.32647080056,0,0,9,9
592638.0,55.792988,37.595276,319767.4418604651,0,0,9,1
592727.0,55.796678,37.509316,304239.4014962593,4,0,9,1
592891.0,55.723212,37.662497,301060.45259469585,0,0,14,15
592900.0,55.7489912,37.791935,175946.54788418708,5,0,5,1
593065.0,55.797707,37.783894,196276.64890073286,4,0,5,4
593065.0,55.7977933,37.7839356,187204.0311050668,4,0,5,2
593073.0,55.771479,37.660215,377750.7474707356,0,0,9,9
593115.0,55.829729,37.401815,227383.8630806846,3,0,31,1
593181.0,55.8230386,37.5701385,302723.5209235209,0,0,12,5
593200.0,55.67665,37.502373,339130.4347826087,2,0,5,1
593451.0,55.7263523,37.6720238,256416.79542761136,4,0,6,2
593545.0,55.820395,37.594468,339728.1394118079,0,0,23,5
593885.0,55.700417,37.75511,194847.02093397744,0,0,5,3
593928.0,55.747055,37.598392,969642.3241971207,2,0,3,2
593929.0,55.7438165,37.413686,382142.85714285716,0,0,20,1
594000.0,55.6761311,37.7571627,230631.45862570422,0,0,9,4
594044.0,55.6848919,37.5280323,304638.74016822275,0,0,8,9
594099.0,55.6159906,37.7031911,255434.78260869568,2,0,6,1
594099.0,55.616005,37.703218,232282.14562607583,0,0,6,118
594117.0,55.6371713,37.7528254,205655.52699228792,2,0,14,1
594117.0,55.637179,37.752922,198011.4216563917,0,0,14,12
594138.0,55.8705565,37.603683,255454.54545454544,0,0,9,1
594138.0,55.870607,37.603639,237317.49765949938,0,0,16,8
594370.0,55.7408052,37.5780778,834284.6163939816,3,0,7,32
594780.0,55.8216357,37.4936433,280468.75,2,0,12,1
594780.0,55.821684,37.49356,265957.44680851063,5,0,12,1
594792.0,55.5149972,37.5683997,203030.30303030304,0,0,4,1
595012.0,55.8180782,37.7148418,242008.0513714544,5,0,9,7
595028.0,55.802265,37.470474,267267.3673429139,4,0,5,5
595043.0,55.7583141,37.598006,1031037.1307168808,0,0,6,4
595043.0,55.758357,37.598052,842991.2972387313,0,0,6,4
595135.0,55.652456,37.398734,235368.53894005908,0,0,17,19
595157.0,55.566089,37.343281,113125.0,4,0,3,2
595176.0,55.652278,37.714761,207163.179312191,0,0,9,6
595194.0,55.6969511,37.469927,323750.0,3,0,41,1
595452.0,55.581103,37.592446,174982.61315177803,3,0,22,3
595561.0,55.866111,37.60461,278846.1538461539,2,0,17,1
595657.0,55.7234295,37.415569,257043.95806845775,2,0,5,12
595692.0,55.640274,37.67962,202653.9278131635,0,0,17,2
595730.0,55.694653,37.7412,242406.44403423392,4,0,12,2
595733.0,55.7795884,37.6102362,466216.2162162162,0,0,14,2
595837.0,55.7748387,37.7374495,304581.66115726985,0,0,25,44
595903.0,55.6442741,37.6061505,232258.06451612903,5,0,5,1
595925.0,55.6982112,37.7731669,249774.5571658615,0,0,9,3
596024.0,55.815094,37.406271,260744.2223706417,0,0,9,9
596055.0,55.7797995,37.5352838,322903.9166764496,5,0,22,35
596101.0,55.6036998,37.1693031,171109.21091914846,3,0,17,26
596101.0,55.603766,37.169367,145676.19329168953,3,0,16,3
596139.0,55.8803043,37.6329308,230301.11669117407,3,2,33,278
596242.0,55.7696663,37.6274204,503194.2160554759,0,0,5,13
596311.0,55.8096882,37.5186224,284860.5577689243,0,2,5,1
596318.0,55.6850163,37.5939869,276159.09090909094,0,0,5,2
596607.0,55.642692,37.336921,214885.4010831114,2,0,17,26
596640.0,55.761766,37.40866,263735.3556869514,2,0,17,2
596640.0,55.7617754,37.4085874,269971.04506998113,2,0,17,4
596690.0,55.7951748,37.5111884,331640.15170638124,0,0,6,2
596773.0,55.842972,37.4814554,293606.0824329732,0,0,29,3
596786.0,55.87927,37.517994,210906.25,0,0,5,1
596926.0,55.774937,37.495052,306333.11125916056,0,0,12,2
597068.0,55.725894,37.524776,277680.3337378064,0,0,14,4
597070.0,55.893223,37.647621,212383.64557558618,0,0,12,2
597126.0,55.702206,37.639024,387089.6666666666,0,0,40,2
597158.0,55.894455,37.579062,232847.5186249671,0,0,16,8
597225.0,55.669706,37.561949,295965.3437843111,0,0,5,2
