address,lat,lon,year,total_apartments,inhab_count,under_24_num,between_25_34_num,between_35_44_num,between_45_54_num,between_55_64_num,over_65_num,men_num,women_num,with_children_num,with_pets_num,with_car_num,median_income_pop,avg_hcs_cost_pop
"Россия, Москва, Первомайская улица, 88",55.793116,37.80712,1969.0,140.0,320.522009569378,32.85350598086125,54.00795861244021,95.83608086124403,69.64943267942586,41.95633105263158,26.18664818181819,145.1644181339713,175.3575914354067,100.5477544019139,86.89351679425839,128.3690648325359,37802686.33062202,3385032.943062202
"Россия, Москва, Челобитьевское шоссе, 2 к1",55.914419,37.547429,2007.0,140.0,318.2488038277513,40.70402200956939,63.5861110047847,103.5263358851675,61.54931866028709,36.88503636363637,11.96615502392345,169.1810641148326,149.0677397129187,99.96194928229666,56.99836076555025,172.7454507177034,34696121.0909091,3381711.789473685
"Россия, Москва, Пулковская улица, 3",55.844885,37.480004,2023.0,140.0,318.2488038277513,47.92826985645934,73.57912344497609,93.21507464114835,57.25295980861245,34.08444688995216,12.18892918660287,174.8458928229665,143.4029110047847,71.92422966507179,71.28773205741628,128.7316411483254,42437523.24401915,4003251.703349283
"Россия, Москва, Зеленоград, 18-й микрорайон м-н, Зеленоград, к1803",55.979368,37.164805,2004.0,140.0,359.0,30.515,59.1991,110.931,73.5591,58.19390000000001,26.566,153.0776,205.9224,129.24,121.7728,168.73,42983070.0,3993516.0
"Россия, Москва, Кленовый бульвар, 10 к3",55.682318,37.670969,1972.0,140.0,320.522009569378,30.19317330143541,63.91208870813399,93.1757481818182,73.52774899521532,40.25756440191388,19.42363377990431,150.2286658851675,170.2933436842106,88.27176143540672,99.2015619617225,132.7602163636364,38549502.61291867,2733411.697607656
"Россия, Москва, Полярная улица, 52 к2",55.890318,37.648221,1968.0,140.0,327.3416267942584,32.73416267942584,49.10124401913877,105.2075988516747,93.52150277511964,32.73416267942584,14.04295578947369,105.2075988516747,222.1340279425838,112.2454438277512,74.83029588516747,116.8936949282297,35248146.37320575,3238390.713875599
"Россия, Москва, пос. Коммунарка, улица Александры Монаховой, 95 к2",55.542472,37.491208,2014.0,140.0,255.0,33.558,65.7645,88.02600000000001,42.075,17.289,8.2875,139.6125,115.3875,88.995,55.437,136.2465,32613735.0,3233655.0
"Россия, Москва, Батайский проезд, 29",55.644706,37.724193,1980.0,140.0,327.3416267942584,42.4234748325359,62.78412401913877,110.5105332057417,72.40796784688997,24.68155866028709,14.50123406698565,170.3813167464115,156.9603100478469,118.1703272727273,89.4297324401914,151.65737569378,33183930.07464116,2939855.150239235
"Россия, Москва, Болотниковская улица, 51 к2",55.661885,37.579254,1964.0,140.0,318.2488038277513,27.59217129186603,67.15049760765552,91.9739043062201,54.2614210526316,58.87602870813398,18.39478086124402,149.9270114832536,168.3217923444976,89.20513971291868,93.81974736842106,110.3686851674641,33454632.50717704,2446378.555023924
"Россия, Москва, Цимлянская улица, 3 к3",55.669698,37.771031,2019.0,140.0,318.2488038277513,58.30318086124403,89.77798755980862,106.0723263157895,38.47628038277512,18.64937990430623,7.001473684210529,162.0522909090909,156.1965129186603,104.9266306220096,59.44887655502394,141.0478698564594,27999529.76076556,3531606.976076556
"Россия, Москва, Щербинка, Центральный м-н, Первомайская улица, 3 к2",55.506627,37.565911,2004.0,140.0,300.0,41.07,59.76000000000001,85.62,64.11,33.48,15.96,160.11,139.89,79.89,53.96999999999999,121.71,25507200.0,2504400.0
"Россия, Москва, Минусинская улица, 6",55.873305,37.694368,1971.0,140.0,327.3416267942584,27.56216497607656,57.28478468899522,93.12869282296653,82.7192290909091,42.03066488038278,24.61609033492823,130.6093090909091,196.7323177033493,112.1472413397129,87.5311510047847,126.6157412440192,32054928.80382776,2661287.425837321
"Россия, Москва, Новослободская улица, 49/2 / Горлов тупик, 2",55.786539,37.593533,1963.0,140.0,318.2488038277513,67.46874641148327,86.56367464114834,80.19869856459331,45.6687033492823,26.12822679425838,12.22075406698565,178.9831272727273,139.265676555024,65.52742870813398,58.46230526315792,110.6551090909091,38364575.05263159,3656360.507177034
"Россия, Москва, Петровско-Разумовский проезд, 8",55.793935,37.569575,1964.0,140.0,318.2488038277513,35.58021626794259,60.43544784688996,86.08630143540671,67.97794449760767,39.36737703349283,28.83334162679427,171.949828708134,146.2989751196172,83.09476267942586,71.57415598086125,143.9121090909091,37404418.41148326,3450453.531100479
"Россия, Москва, Пролетарский проспект, 6 к1",55.646658,37.655045,1969.0,141.0,322.7952153110048,54.00363952153111,85.44389349282297,90.09214459330146,52.13142727272728,31.92444679425838,9.167384114832537,251.4897522488039,71.30546306220096,62.81594889952154,52.13142727272728,248.1326820095694,37099499.68612441,3443256.561722489
"Россия, Москва, улица Плеханова, 3 к5",55.758078,37.759874,1966.0,141.0,254.599043062201,50.38515062200958,72.68802679425839,80.17323866028708,32.38499827751197,13.85018794258373,5.14290066985646,123.9642740669857,130.6347689952153,102.8070935885168,62.17308631578949,120.5017270813397,19136173.27464115,1296163.728229665
"Россия, Москва, Семёновская набережная, 2/1 ст1",55.777278,37.704732,1959.0,141.0,359.0,22.0067,78.4056,75.6413,75.6413,63.2558,44.0134,126.5475,232.4525,94.9196,85.2625,141.6614,45345649.0,2660908.0
"Россия, Москва, Судостроительная улица, 47",55.68658,37.691164,1969.0,141.0,322.7952153110048,18.98035866028708,94.93407282296651,85.44389349282297,75.95371416267943,42.73808650717704,4.745089665071771,99.67916248803829,223.1160528229666,71.20862449760766,85.44389349282297,132.9270696650718,50837986.84497608,3153386.458373206
"Россия, Москва, Иерусалимская улица, 2",55.733939,37.676169,1971.0,141.0,325.0684210526316,22.55974842105264,47.42748263157895,93.13210263157895,69.98723105263159,57.82967210526316,34.13218421052632,126.6791636842105,198.3892573684211,89.65387052631579,89.06874736842106,141.6973247368421,37465760.86842106,2845974.02631579
"Россия, Москва, 17-й проезд Марьиной Рощи, 1",55.807391,37.611543,2015.0,141.0,327.3416267942584,42.25980401913876,78.6601929186603,101.6068409569378,60.88554258373208,32.37408688995217,11.5224252631579,209.1058311961723,118.2357955980861,76.20513071770337,59.44523942583734,165.9294706220096,37672765.80287082,3671136.344497608
"Россия, Москва, д. Сосенки, Ясеневая улица, 1 к1",55.567271,37.443124,2012.0,141.0,3.0,0.3179999999999999,0.6753,0.8712000000000001,0.5727,0.3720000000000001,0.1908,1.7373,1.2627,0.9153,0.5091,1.7424,492249.0,45291.0
"Россия, Москва, улица 50 лет Октября, 23 к1",55.65526,37.411645,1969.0,141.0,327.3416267942584,54.24050755980863,78.10371215311007,90.70636478468901,57.97220210526318,33.68345339712919,12.63538679425838,167.4025079425838,159.9391188516747,103.3417515789474,87.43294851674644,129.98736,32555761.49282297,3162774.798086125
"Россия, Москва, улица Куусинена, 4а к3",55.780618,37.518668,1973.0,141.0,325.0684210526316,57.37457631578948,62.08806842105264,80.25939315789475,66.8015605263158,35.75752631578948,22.75478947368421,184.5738494736842,140.4945715789474,74.53818894736843,64.81864315789475,129.1821905263158,37489165.79473685,3459053.068421053
"Россия, Москва, улица 50 лет Октября, 5",55.650005,37.413584,1963.0,141.0,325.0684210526316,35.69251263157895,67.61423157894737,95.37507473684211,63.8759447368421,42.16137421052632,20.38179,175.0818515789474,149.9865694736842,92.51447263157895,78.30898263157896,126.4191089473684,29932300.21052632,2788111.847368421
"Россия, Москва, Стройковская улица, 2",55.734995,37.676433,1972.0,141.0,325.0684210526316,22.55974842105264,47.42748263157895,93.13210263157895,69.98723105263159,57.82967210526316,34.13218421052632,126.6791636842105,198.3892573684211,89.65387052631579,89.06874736842106,141.6973247368421,37465760.86842106,2845974.02631579
"Россия, Москва, улица Академика Виноградова, 1 к1",55.632824,37.481469,2010.0,141.0,309.1559808612441,38.79907559808613,54.19504344497609,82.48281569377993,73.91919502392346,37.46970488038278,22.25923062200957,141.9644264114833,167.1915544497608,93.33419062200959,81.98816612440193,143.2319659330144,36832534.40382776,3319098.610526316
