lat,lon,price_per_m2,building_type,object_type,levels,ads_count
55.427622,36.866006,177892.91882556133,1,1,5,1
55.428562,36.865647,172576.83215130024,1,1,9,1
55.430084,36.863616,142029.93554026002,0,1,16,1
55.43014,36.865206,181818.18181818182,1,1,9,1
55.430998,36.865036,230147.89533560863,0,1,16,2
55.431085,36.86871,164319.24882629106,1,1,9,1
55.431157,36.870426,171783.95647025033,1,1,5,2
55.431335,36.865826,172668.75981161694,0,1,16,1
55.431596,37.271487,242369.8384201077,3,1,6,1
55.432137,36.871342,192362.39950525668,1,1,5,2
55.43273,36.869393,185201.06319128867,1,1,9,2
55.433205,36.871854,234265.73426573427,1,1,5,1
55.433614,37.324174,141086.60005477106,0,1,4,5
55.433639,37.324883,169719.17198606397,0,1,4,6
55.433946,36.871477,159176.02996254683,1,1,9,1
55.4344,37.324398,153846.15384615384,3,1,3,1
55.434686,37.32376,136923.07692307694,3,1,3,1
55.434977,37.325898,166666.66666666666,3,1,3,1
55.445018,37.243972,184042.55319148937,4,1,5,1
55.447259,37.521174,189166.66666666666,0,1,16,1
55.447325,37.517249,159774.43609022556,2,1,5,1
55.448219,37.243325,188034.18803418803,3,1,3,1
55.448393,37.245634,171428.57142857142,0,1,3,1
55.448398,37.521605,188212.92775665398,1,1,14,1
55.448975,37.513251,225705.32915360504,3,1,5,1
55.449281,37.521066,185089.97429305915,1,1,14,1
55.453192,37.282483,162589.57992419702,0,1,6,7
55.453564,37.284279,171541.7519339633,0,1,5,19
55.45365271631953,37.27979172820078,222022.17978271522,0,1,12,8
55.4536649110616,37.28028525466007,216785.28332820744,0,1,12,12
55.45369539693479,37.28001703375842,212783.2198142415,0,1,12,1
55.45388440981339,37.27999557608626,221681.56459545318,0,1,12,4
55.453912,37.28251,172483.39109711323,0,1,5,11
55.455321,37.285483,164023.06736091565,0,1,5,4
55.45652830229061,37.280707314848925,155101.21536383696,2,1,11,2
55.464177,36.943521,90793.6507936508,1,1,5,1
55.464738,36.945103,186206.89655172414,3,1,5,1
55.464871,37.285887,256880.73394495412,2,1,5,1
55.465483,36.939497,141413.54128960165,3,1,4,2
55.465713,36.94583,176855.89519650655,1,1,5,2
55.465784,36.935023,161839.86371379896,1,1,5,1
55.465795,36.932697,121396.05462822458,1,1,5,1
55.46583,36.944824,160000.0,1,1,5,1
55.465958,37.28684,318534.4827586207,2,1,6,1
55.466152,37.544845,250000.0,4,1,16,1
55.466427,37.542527,195121.9512195122,0,1,17,1
55.466626,37.291196,330948.12164579605,2,1,6,1
55.467081,37.293056,217417.32057759148,1,1,12,2
55.467198,37.289238,305690.1649548709,2,1,7,3
55.467586,37.544944,216408.23714455674,0,1,14,5
55.467606,37.290909,246706.5868263473,0,1,7,1
55.467719,37.288007,311040.2748356961,0,1,6,2
55.467856,37.2924,191458.33333333334,1,1,12,1
55.468208,37.289436,338461.53846153844,0,1,7,1
55.46853,37.544818,220000.0,2,1,10,1
55.468683,37.292283,220634.92063492062,1,1,12,1
55.469219,37.29028,309426.8929604448,4,1,8,3
55.469438,37.54453,170909.0909090909,0,1,12,1
55.47004,37.542725,216774.59793310097,0,1,10,3
55.470729,37.544593,197303.9128016663,0,1,14,2
55.470877,37.542635,167073.17073170733,0,1,10,1
55.470893,37.291852,277310.92436974787,1,1,12,1
55.470928,37.295059,211581.29175946547,1,1,9,1
55.470928,37.299766,235090.99877975957,1,1,16,2
55.471561,37.298033,200991.05632100557,1,1,9,2
55.471985,37.544243,231818.18181818182,2,1,14,1
55.472025,37.299721,201382.56343526352,3,1,5,2
55.473031,37.261444,190000.0,0,1,3,1
55.473066,37.30495,189789.50246036085,0,1,5,2
55.473439,37.263394,168841.13584036837,2,1,3,1
55.473526,37.263861,202444.61420932008,0,1,3,1
55.47363907049652,37.53049906745862,247823.27741935482,0,1,12,1
55.473704,37.530678,241679.6875,0,1,12,3
55.47372,37.531631,254702.5204555734,0,1,15,2
55.473745,37.543174,166935.48387096773,1,1,5,1
55.473791,37.526825,345993.1322149367,2,1,14,7
55.474016,37.303629,255033.55704697984,1,1,5,1
55.474077,37.302183,240112.9943502825,3,1,9,1
55.474077,37.518066,266539.2998427149,0,1,12,25
55.474163,37.530642,303109.0920792728,0,1,15,3
55.474163,37.544396,217391.30434782608,3,1,5,1
55.47424,37.261211,207832.44063634568,0,1,4,3
55.474306,37.531963,308930.8424574101,0,1,13,7
55.474342,37.262091,189772.72727272726,0,1,4,1
55.474393,37.518434,255325.67404591816,0,1,9,16
55.47443092678869,37.53180206745861,202464.78873239437,0,1,12,1
55.474444,37.293523,198999.74993748436,0,1,17,3
55.474526,37.532942,278936.15368360863,0,1,15,3
55.474541,37.532897,269768.93512851896,2,1,15,2
55.474648,37.525872,307848.595624487,2,1,16,3
55.474965,37.531963,276082.94119545823,0,1,14,3
55.475118,37.53323,259666.98684643087,0,1,13,7
