lat,lon,price_per_m2,levels,ads_count
55.515691,37.354339,1062.5,17,2
55.515854,37.338888,1453.6501633142839,9,14
55.515854,37.351177,1028.03738317757,14,1
55.516384,37.347368,980.072463768116,17,2
55.516486,37.355156,1354.473740425402,12,3
55.51668,37.395832,1064.638783269962,3,1
55.516853,37.349524,1045.4545454545455,12,2
55.517144,37.533885,900.0,5,1
55.517164,37.333202,800.0,3,1
55.517276,37.395096,1222.2222222222222,3,1
55.517388,37.572405,1707.4733541656792,17,10
55.517404,37.570788,1758.6601307189542,9,3
55.517434,37.342769,1540.2451051649862,14,6
55.517531,37.396183,1040.0,3,1
55.517837,37.570878,1580.9045741972573,17,4
55.517878,37.571776,1393.643031784841,17,1
55.517903,37.569827,2000.0,9,1
55.518081,37.396533,1058.8235294117646,3,1
55.518285,37.572719,1896.5546098934665,17,4
55.518484,37.570051,1900.5074015829064,17,4
55.518525,37.348805,1846.1538461538462,14,1
55.518601,37.394314,958.9041095890411,3,1
55.518627,37.392095,1025.6410256410256,7,1
55.518846,37.572198,1886.1043339289563,17,16
55.518907,37.344619,1179.1167549226261,16,2
55.518943,37.394575,1333.3333333333333,3,1
55.519157,37.392499,1111.111111111111,3,1
55.519254,37.39488,1046.5116279069769,3,1
55.519432,37.213654,650.0,3,1
55.519651,37.393191,1222.2222222222222,3,1
55.519661,37.572657,1702.155250145897,17,11
55.519886,37.345131,925.925925925926,18,1
55.52036,37.386984,1075.0,9,1
55.5204,37.355174,1024.122807017544,12,2
55.520645,37.394557,925.925925925926,4,1
55.520732,37.346847,1071.4285714285713,17,1
55.520757,37.38728,785.2193995381062,16,1
55.520935,37.387613,1190.5076885114083,14,23
55.521134,37.35018,1090.010806545679,17,3
55.521139,37.352291,1268.2828282828284,14,3
55.521139,37.354653,1229.79797979798,14,3
55.52118,37.347575,1220.0,15,2
55.522882,37.507646,1500.0,12,2
55.523575,37.508661,1111.6636528028932,16,3
55.523825,37.514742,1155.1155115511551,18,1
55.52435,37.509676,1224.3589743589744,16,2
55.52436,37.511679,1084.4155844155844,16,2
55.525318,37.443748,969.2132269099202,14,1
55.525481,37.514778,1527.7777777777778,18,1
55.525863,37.513233,846.1538461538462,17,1
55.525991,37.361112,1883.3333333333333,2,1
55.526052,37.360537,1607.142857142857,2,1
55.526123,37.510628,1277.7777777777778,17,2
55.526709,37.359846,1596.958174904943,2,1
55.526979,37.444108,1000.0,5,1
55.528605,37.149074,1285.7142857142858,4,1
