club_key,green_pct
classclub_сельскохозяйственнаяулица26ст7,35.231925
classfit_3япарковаяулицавл57,0.0
classfit_ферганскаяулица8,1.153209
climblab_очаковскоешоссе3а,2.511479
closecombatstudio_дубининскаяулица40,1.02274
club18fightfitness_1йнагатинскийпроезд15,0.0
clubkleo_улицамаршаларыбалко2к1,3.49308
clubus_привольнаяулица2ст1,13.975584
combatcenter_профсоюзнаяулица62к5,0.023635
combatgym_большаясухаревскаяплощадь9,2.661053
constancy_карманицкийпереулок3аст3,1.239751
cooltennis_суворовскаяплощадь2ст35,28.729672
cordis_улицалипчанского4к2,0.0
cornerstudio_леснаяулица20ст4,3.182917
corpssain_профсоюзнаяулица56,0.309584
cosmoatekstilshiki_улицасаратовская31,18.307912
cracehub_ленинградскийпроспект80к17,0.972403
crocusfitness_1йкрасногвардейскийпроезд22ст2,0.294091
crocusfitness_звенигородскоешоссе11,3.421377
crocusfitness_ленинградскийпроспект35ст1,0.0
crocusfitness_лётнаяулица73,2.393589
crocusfitness_поклоннаяулицавл9,10.926729
crocusfitness_улицаземлянойвал41ст1,17.252239
crocusfitness_улицалужники24ст4,7.453795
crocusfitness_улицанижниемнёвники10а,22.786517
crocusfitness_улицачерняховского19,0.565621
crossfightclub_9япарковаяулица31,5.163446
crossfightclub_сиреневыйбульвар15,0.0
crossfit1905_улицалужники24,2.931573
crossfitflash_проездберёзовойрощи12,29.705074
crosstrainingru_госпитальнаяулица2,16.901753
crosstrainingru_митьковскийпроезд11,100.0
cпортивныйклуб№1_зеленоградк1634ст3,5.07037
d1fitness_дмитровскийпроезд1,4.782664
d1fitness_улицанародногоополчения15ст5,2.30038
da_берёзоваяаллея19к6,48.043985
dance23_1ймикрорайон23д,0.0
dancearena_ленинскийпроспект80,0.542689
dancebalance_каширскоешоссе65к3,5.513909
danceit_туристскаяулица14,7.618538
dancesecret_улицакоровийвал3,3.089639
dancespace_улицаэдвардагрига17,10.166129
dancethefox_3йпроездмарьинойрощи40ст1,0.0
dancethefox_малаяботаническаяулица24а,9.432368
dancethefox_улицамалаяботаническая24а,9.432368
dancit_туристскаяулица14,7.618538
danex_локомотивныйпроезд21к5,1.233846
danex_нововладыкинскийпроезд2ст3,17.57744
daokungfu_старопименовскийпереулок4ст2,4.311724
ddsport_привольнаяулица70,0.195689
ddstretching_гагаринскийпереулок16,1.202675
ddxfitness_7якожуховскаяулица9,0.766835
ddxfitness_андроповапроспект27,0.24814
ddxfitness_андроповапроспектвл10,10.274224
ddxfitness_большойовчинниковскийпереулок16,3.835152
ddxfitness_булатниковскаяулица9а,17.63799
ddxfitness_бульвардмитриядонского1,28.361447
ddxfitness_бульварянарайниса41,0.949221
ddxfitness_вешняковскаяулица18,0.47581
ddxfitness_дубравнаяулица51ст1,15.877717
ddxfitness_зелёныйпроспект81,12.843249
ddxfitness_инженернаяулица1,22.851333
ddxfitness_кантемировскаяулица47,0.467568
ddxfitness_каширскоешоссе26,6.994856
ddxfitness_киевскоешоссе23километр8ст1,0.0
ddxfitness_киевскоешоссе23километрст1,5.40992
ddxfitness_краснопруднаяулица15,1.193187
ddxfitness_кронштадтскийбульвар3а,0.090287
ddxfitness_люблинскаяулица153,1.830479
ddxfitness_миклухомаклаяулица36а,4.570833
ddxfitness_микрорайонсеверноечертаново1а,15.388052
ddxfitness_нахимовскийпроспектвл31к1,0.0
ddxfitness_нежинскаяулицавл11,31.025305
ddxfitness_нововатутинскийпроспект6,1.124256
ddxfitness_новочеркасскийбульвар21а,13.714603
ddxfitness_новоясеневскийпроспект11,6.355876
ddxfitness_озёрнаяулица33,10.863447
ddxfitness_ореховыйбульвар14к1а,12.814608
ddxfitness_открытоешоссе4ст1,2.637103
ddxfitness_панфиловскийпроспектк1841,14.218027
ddxfitness_первомайскаяулица93,3.361748
